name,email,semester
Laticia Merced,lmerced@gmail.com,4
Carissa Batman,carissa.batman@yahoo.com,7
Lezlie Craghead,lezlie.craghead@craghead.org,1
Ozell Shealy,oshealy@hotmail.com,2
Arminda Parvis,arminda@parvis.com,1
Reita Leto,reita.leto@gmail.com,3
Yolando Luczki,yolando@cox.net,2
Lizette Stem,lizette.stem@aol.com,6
Gregoria Pawlowicz,gpawlowicz@yahoo.com,1
Carin Deleo,cdeleo@deleo.com,2
Chantell Maynerich,chantell@yahoo.com,1
Dierdre Yum,dyum@yahoo.com,8
Larae Gudroe,larae_gudroe@gmail.com,6
Latrice Tolfree,latrice.tolfree@hotmail.com,7
Kerry Theodorov,kerry.theodorov@gmail.com,3
Dorthy Hidvegi,dhidvegi@yahoo.com,6
Fannie Lungren,fannie.lungren@yahoo.com,8
Evangelina Radde,evangelina@aol.com,6
Novella Degroot,novella_degroot@degroot.org,5
Clay Hoa,choa@hoa.org,5
Jennifer Fallick,jfallick@yahoo.com,4
Irma Wolfgramm,irma.wolfgramm@hotmail.com,5
Eun Coody,eun@yahoo.com,7
Sylvia Cousey,sylvia_cousey@cousey.org,5
Nana Wrinkles,nana@aol.com,2
Layla Springe,layla.springe@cox.net,3
Joesph Degonia,joesph_degonia@degonia.org,1
Annabelle Boord,annabelle.boord@cox.net,5
Stephaine Vinning,stephaine@cox.net,4
Nelida Sawchuk,nelida@gmail.com,3
Marguerita Hiatt,marguerita.hiatt@gmail.com,4
Carmela Cookey,ccookey@cookey.org,7
Junita Brideau,jbrideau@aol.com,1
Claribel Varriano,claribel_varriano@cox.net,6
Benton Skursky,benton.skursky@aol.com,5
Hillary Skulski,hillary.skulski@aol.com,5
Merilyn Bayless,merilyn_bayless@cox.net,3
Teri Ennaco,tennaco@gmail.com,5
Merlyn Lawler,merlyn_lawler@hotmail.com,6
Georgene Montezuma,gmontezuma@cox.net,1
Jettie Mconnell,jmconnell@hotmail.com,8
Lemuel Latzke,lemuel.latzke@gmail.com,5
Melodie Knipp,mknipp@gmail.com,1
Candida Corbley,candida_corbley@hotmail.com,8
Karan Karpin,karan_karpin@gmail.com,8
Andra Scheyer,andra@gmail.com,5
Felicidad Poullion,fpoullion@poullion.com,4
Belen Strassner,belen_strassner@aol.com,6
Gracia Melnyk,gracia@melnyk.com,6
Jolanda Hanafan,jhanafan@gmail.com,4
Barrett Toyama,barrett.toyama@toyama.org,6
Helga Fredicks,helga_fredicks@yahoo.com,8
Ashlyn Pinilla,apinilla@cox.net,7
Fausto Agramonte,fausto_agramonte@yahoo.com,5
Ronny Caiafa,ronny.caiafa@caiafa.org,3
Marge Limmel,marge@gmail.com,5
Norah Waymire,norah.waymire@gmail.com,2
Aliza Baltimore,aliza@aol.com,6
Mozell Pelkowski,mpelkowski@pelkowski.org,3
Viola Bitsuie,viola@gmail.com,3
Franklyn Emard,femard@emard.com,2
Willodean Konopacki,willodean_konopacki@konopacki.org,1
Beckie Silvestrini,beckie.silvestrini@silvestrini.com,1
Rebecka Gesick,rgesick@gesick.org,6
Frederica Blunk,frederica_blunk@gmail.com,5
Glen Bartolet,glen_bartolet@hotmail.com,5
Freeman Gochal,freeman_gochal@aol.com,2
Vincent Meinerding,vincent.meinerding@hotmail.com,6
Rima Bevelacqua,rima@cox.net,5
Glendora Sarbacher,gsarbacher@gmail.com,3
Avery Steier,avery@cox.net,5
Cristy Lother,cristy@lother.com,3
Nicolette Brossart,nicolette_brossart@brossart.com,7
Tracey Modzelewski,tracey@hotmail.com,5
Virgina Tegarden,virgina_tegarden@tegarden.com,3
Tiera Frankel,tfrankel@aol.com,1
Alaine Bergesen,alaine_bergesen@cox.net,7
Earleen Mai,earleen_mai@cox.net,8
Leonida Gobern,leonida@gobern.org,3
Ressie Auffrey,ressie.auffrey@yahoo.com,7
Justine Mugnolo,jmugnolo@yahoo.com,8
Eladia Saulter,eladia@saulter.com,6
Chaya Malvin,chaya@malvin.com,6
Gwenn Suffield,gwenn_suffield@suffield.org,8
Salena Karpel,skarpel@cox.net,7
Yoko Fishburne,yoko@fishburne.com,4
Taryn Moyd,taryn.moyd@hotmail.com,2
Katina Polidori,katina_polidori@aol.com,7
Rickie Plumer,rickie.plumer@aol.com,4
Alex Loader,alex@loader.com,3
Lashon Vizarro,lashon@aol.com,8
Lauran Burnard,lburnard@burnard.com,4
Ceola Setter,ceola.setter@setter.org,5
My Rantanen,my@hotmail.com,1
Lorrine Worlds,lorrine.worlds@worlds.com,8
Peggie Sturiale,peggie@cox.net,4
Marvel Raymo,mraymo@yahoo.com,8
Daron Dinos,daron_dinos@cox.net,4
An Fritz,an_fritz@hotmail.com,4
Portia Stimmel,portia.stimmel@aol.com,2
Rhea Aredondo,rhea_aredondo@cox.net,5
Benedict Sama,bsama@cox.net,3
Alyce Arias,alyce@arias.org,2
Heike Berganza,heike@gmail.com,8
Carey Dopico,carey_dopico@dopico.org,7
Dottie Hellickson,dottie@hellickson.org,1
Deandrea Hughey,deandrea@yahoo.com,1
Kimberlie Duenas,kimberlie_duenas@yahoo.com,8
Martina Staback,martina_staback@staback.com,6
Skye Fillingim,skye_fillingim@yahoo.com,6
Jade Farrar,jade.farrar@yahoo.com,8
Charlene Hamilton,charlene.hamilton@hotmail.com,1
Geoffrey Acey,geoffrey@gmail.com,8
Stevie Westerbeck,stevie.westerbeck@yahoo.com,4
Pamella Fortino,pamella@fortino.com,2
Harrison Haufler,hhaufler@hotmail.com,2
Johnna Engelberg,jengelberg@engelberg.org,3
Buddy Cloney,buddy.cloney@yahoo.com,6
Dalene Riden,dalene.riden@aol.com,8
Jerry Zurcher,jzurcher@zurcher.org,2
Haydee Denooyer,hdenooyer@denooyer.org,8
Joseph Cryer,joseph_cryer@cox.net,2
Deonna Kippley,deonna_kippley@hotmail.com,8
Raymon Calvaresi,raymon.calvaresi@gmail.com,1
Alecia Bubash,alecia@aol.com,2
Ma Layous,mlayous@hotmail.com,3
Detra Coyier,detra@aol.com,8
Terrilyn Rodeigues,terrilyn.rodeigues@cox.net,2
Salome Lacovara,slacovara@gmail.com,5
Garry Keetch,garry_keetch@hotmail.com,1
Matthew Neither,mneither@yahoo.com,4
Theodora Restrepo,theodora.restrepo@restrepo.com,8
Noah Kalafatis,noah.kalafatis@aol.com,6
Carmen Sweigard,csweigard@sweigard.com,1
Lavonda Hengel,lavonda@cox.net,3
Junita Stoltzman,junita@aol.com,6
Herminia Nicolozakes,herminia@nicolozakes.org,2
Casie Good,casie.good@aol.com,8
Reena Maisto,reena@hotmail.com,6
Mirta Mallett,mirta_mallett@gmail.com,8
Cathrine Pontoriero,cathrine.pontoriero@pontoriero.com,8
Filiberto Tawil,ftawil@hotmail.com,1
Raul Upthegrove,rupthegrove@yahoo.com,6
Sarah Candlish,sarah.candlish@gmail.com,8
Lucy Treston,lucy@cox.net,4
Judy Aquas,jaquas@aquas.com,3
Yvonne Tjepkema,yvonne.tjepkema@hotmail.com,5
Kayleigh Lace,kayleigh.lace@yahoo.com,4
Felix Hirpara,felix_hirpara@cox.net,5
Tresa Sweely,tresa_sweely@hotmail.com,4
Kristeen Turinetti,kristeen@gmail.com,3
Jenelle Regusters,jregusters@regusters.com,6
Renea Monterrubio,renea@hotmail.com,7
Olive Matuszak,olive@aol.com,5
Ligia Reiber,lreiber@cox.net,7
Christiane Eschberger,christiane.eschberger@yahoo.com,5
Goldie Schirpke,goldie.schirpke@yahoo.com,1
Loreta Timenez,loreta.timenez@hotmail.com,6
Fabiola Hauenstein,fabiola.hauenstein@hauenstein.org,8
Amie Perigo,amie.perigo@yahoo.com,2
Raina Brachle,raina.brachle@brachle.org,2
Erinn Canlas,erinn.canlas@canlas.com,4
Cherry Lietz,cherry@lietz.com,7
Kattie Vonasek,kattie@vonasek.org,5
Lilli Scriven,lilli@aol.com,7
Whitley Tomasulo,whitley.tomasulo@aol.com,2
Barbra Adkin,badkin@hotmail.com,1
Hermila Thyberg,hermila_thyberg@hotmail.com,1
Jesusita Flister,jesusita.flister@hotmail.com,1
Caitlin Julia,caitlin.julia@julia.org,8
Roosevelt Hoffis,roosevelt.hoffis@aol.com,7
Helaine Halter,hhalter@yahoo.com,8
Lorean Martabano,lorean.martabano@hotmail.com,5
France Buzick,france.buzick@yahoo.com,6
Justine Ferrario,jferrario@hotmail.com,4
Adelina Nabours,adelina_nabours@gmail.com,7
Derick Dhamer,ddhamer@cox.net,2
Jerry Dallen,jerry.dallen@yahoo.com,7
Leota Ragel,leota.ragel@gmail.com,8
Jutta Amyot,jamyot@hotmail.com,1
Aja Gehrett,aja_gehrett@hotmail.com,1
Kirk Herritt,kirk.herritt@aol.com,5
Leonora Mauson,leonora@yahoo.com,8
Winfred Brucato,winfred_brucato@hotmail.com,1
Tarra Nachor,tarra.nachor@cox.net,2
Corinne Loder,corinne@loder.org,8
Dulce Labreche,dulce_labreche@yahoo.com,5
Kate Keneipp,kate_keneipp@yahoo.com,6
Kaitlyn Ogg,kaitlyn.ogg@gmail.com,8
Sherita Saras,sherita.saras@cox.net,7
Lashawnda Stuer,lstuer@cox.net,1
Ernest Syrop,ernest@cox.net,6
Nobuko Halsey,nobuko.halsey@yahoo.com,8
Lavonna Wolny,lavonna.wolny@hotmail.com,7
Lashaunda Lizama,llizama@cox.net,5
Mariann Bilden,mariann.bilden@aol.com,1
Helene Rodenberger,helene@aol.com,6
Roselle Estell,roselle.estell@hotmail.com,5
Samira Heintzman,sheintzman@hotmail.com,3
Margart Meisel,margart_meisel@yahoo.com,6
Kristofer Bennick,kristofer.bennick@yahoo.com,3
Weldon Acuff,wacuff@gmail.com,4
Shalon Shadrick,shalon@cox.net,1
Denise Patak,denise@patak.org,1
Louvenia Beech,louvenia.beech@beech.com,5
Audry Yaw,audry.yaw@yaw.org,7
Kristel Ehmann,kristel.ehmann@aol.com,2
Vincenza Zepp,vzepp@gmail.com,8
Elouise Gwalthney,egwalthney@yahoo.com,5
Venita Maillard,venita_maillard@gmail.com,6
Kasandra Semidey,kasandra_semidey@semidey.com,1
Xochitl Discipio,xdiscipio@gmail.com,4
Maile Linahan,mlinahan@yahoo.com,3
Krissy Rauser,krauser@cox.net,7
Pete Dubaldi,pdubaldi@hotmail.com,1
Linn Paa,linn_paa@paa.com,4
Paris Wide,paris@hotmail.com,7
Wynell Dorshorst,wynell_dorshorst@dorshorst.org,5
Quentin Birkner,qbirkner@aol.com,1
Regenia Kannady,regenia.kannady@cox.net,2
Sheron Louissant,sheron@aol.com,3
Izetta Funnell,izetta.funnell@hotmail.com,5
Rodolfo Butzen,rodolfo@hotmail.com,1
Zona Colla,zona@hotmail.com,5
Serina Zagen,szagen@aol.com,8
Paz Sahagun,paz_sahagun@cox.net,2
Markus Lukasik,markus@yahoo.com,7
Jaclyn Bachman,jaclyn@aol.com,5
Cyril Daufeldt,cyril_daufeldt@daufeldt.com,6
Gayla Schnitzler,gschnitzler@gmail.com,7
Erick Nievas,erick_nievas@aol.com,2
Jennie Drymon,jennie@cox.net,1
Mitsue Scipione,mscipione@scipione.com,7
Ciara Ventura,cventura@yahoo.com,2
Galen Cantres,galen@yahoo.com,1
Truman Feichtner,tfeichtner@yahoo.com,4
Gail Kitty,gail@kitty.com,8
Dalene Schoeneck,dalene@schoeneck.org,2
Gertude Witten,gertude.witten@gmail.com,2
Lizbeth Kohl,lizbeth@yahoo.com,6
Glenn Berray,gberray@gmail.com,8
Lashandra Klang,lashandra@yahoo.com,7
Lenna Newville,lnewville@newville.com,3
Laurel Pagliuca,laurel@yahoo.com,5
Mireya Frerking,mireya.frerking@hotmail.com,8
Annelle Tagala,annelle@yahoo.com,4
Dean Ketelsen,dean_ketelsen@gmail.com,2
Levi Munis,levi.munis@gmail.com,3
Sylvie Ryser,sylvie@aol.com,6
Sharee Maile,sharee_maile@aol.com,5
Cordelia Storment,cordelia_storment@aol.com,1
Mollie Mcdoniel,mollie_mcdoniel@yahoo.com,5
Brett Mccullan,brett.mccullan@mccullan.com,2
Teddy Pedrozo,teddy_pedrozo@aol.com,8
Tasia Andreason,tasia_andreason@yahoo.com,2
Hubert Walthall,hubert@walthall.org,6
Arthur Farrow,arthur.farrow@yahoo.com,4
Vilma Berlanga,vberlanga@berlanga.com,6
Billye Miro,billye_miro@cox.net,8
Glenna Slayton,glenna_slayton@cox.net,1
Mitzie Hudnall,mitzie_hudnall@yahoo.com,7
Bernardine Rodefer,bernardine_rodefer@yahoo.com,8
Staci Schmaltz,staci_schmaltz@aol.com,7
Nichelle Meteer,nichelle_meteer@meteer.com,5
Janine Rhoden,jrhoden@yahoo.com,6
Ettie Hoopengardner,ettie.hoopengardner@hotmail.com,5
Eden Jayson,eden_jayson@yahoo.com,8
Lynelle Auber,lynelle_auber@gmail.com,7
Merissa Tomblin,merissa.tomblin@gmail.com,7
Golda Kaniecki,golda_kaniecki@yahoo.com,3
Catarina Gleich,catarina_gleich@hotmail.com,5
Virgie Kiel,vkiel@hotmail.com,1
Jolene Ostolaza,jolene@yahoo.com,2
Keneth Borgman,keneth@yahoo.com,3
Rikki Nayar,rikki@nayar.com,5
Elke Sengbusch,elke_sengbusch@yahoo.com,3
Hoa Sarao,hoa@sarao.org,2
Trinidad Mcrae,trinidad_mcrae@yahoo.com,2
Mari Lueckenbach,mari_lueckenbach@yahoo.com,2
Selma Husser,selma.husser@cox.net,3
Antione Onofrio,aonofrio@onofrio.com,8
Luisa Jurney,ljurney@hotmail.com,5
Clorinda Heimann,clorinda.heimann@hotmail.com,1
Dick Wenzinger,dick@yahoo.com,8
Ahmed Angalich,ahmed.angalich@angalich.com,6
Iluminada Ohms,iluminada.ohms@yahoo.com,5
Joanna Leinenbach,joanna_leinenbach@hotmail.com,3
Caprice Suell,caprice@aol.com,6
Stephane Myricks,stephane_myricks@cox.net,7
Quentin Swayze,quentin_swayze@yahoo.com,7
Annmarie Castros,annmarie_castros@gmail.com,7
Shonda Greenbush,shonda_greenbush@cox.net,6
Cecil Lapage,clapage@lapage.com,5
Jeanice Claucherty,jeanice.claucherty@yahoo.com,3
Josphine Villanueva,josphine_villanueva@villanueva.com,5
Daniel Perruzza,dperruzza@perruzza.com,2
Cassi Wildfong,cassi.wildfong@aol.com,4
Britt Galam,britt@galam.org,7
Adell Lipkin,adell.lipkin@lipkin.com,2
Jacqueline Rowling,jacqueline.rowling@yahoo.com,7
Lonny Weglarz,lonny_weglarz@gmail.com,4
Lonna Diestel,lonna_diestel@gmail.com,7
Cristal Samara,cristal@cox.net,2
Kenneth Grenet,kenneth.grenet@grenet.org,8
Elli Mclaird,emclaird@mclaird.com,5
Alline Jeanty,ajeanty@gmail.com,7
Sharika Eanes,sharika.eanes@aol.com,5
Nu Mcnease,nu@gmail.com,1
Daniela Comnick,dcomnick@cox.net,7
Cecilia Colaizzo,cecilia_colaizzo@colaizzo.com,8
Leslie Threets,leslie@cox.net,5
Nan Koppinger,nan@koppinger.com,8
Izetta Dewar,idewar@dewar.com,1
Tegan Arceo,tegan.arceo@arceo.org,7
Ruthann Keener,ruthann@hotmail.com,8
Joni Breland,joni_breland@cox.net,7
Vi Rentfro,vrentfro@cox.net,8
Colette Kardas,colette.kardas@yahoo.com,3
Malcolm Tromblay,malcolm_tromblay@cox.net,3
Ryan Harnos,ryan@cox.net,8
Jess Chaffins,jess.chaffins@chaffins.org,6
Sharen Bourbon,sbourbon@yahoo.com,1
Nickolas Juvera,nickolas_juvera@cox.net,6
Gary Nunlee,gary_nunlee@nunlee.org,6
Diane Devreese,diane@cox.net,7
Roslyn Chavous,roslyn.chavous@chavous.org,1
Glory Schieler,glory@yahoo.com,2
Rasheeda Sayaphon,rasheeda@aol.com,2
Alpha Palaia,alpha@yahoo.com,2
Refugia Jacobos,refugia.jacobos@jacobos.com,8
Shawnda Yori,shawnda.yori@yahoo.com,7
Mona Delasancha,mdelasancha@hotmail.com,3
Gilma Liukko,gilma_liukko@gmail.com,5
Janey Gabisi,jgabisi@hotmail.com,6
Lili Paskin,lili.paskin@cox.net,7
Loren Asar,loren.asar@aol.com,4
Dorothy Chesterfield,dorothy@cox.net,1
Gail Similton,gail_similton@similton.com,1
Catalina Tillotson,catalina@hotmail.com,3
Lawrence Lorens,lawrence.lorens@hotmail.com,2
Carlee Boulter,carlee.boulter@hotmail.com,4
Thaddeus Ankeny,tankeny@ankeny.org,6
Jovita Oles,joles@gmail.com,6
Alesia Hixenbaugh,alesia_hixenbaugh@hixenbaugh.org,2
Lai Harabedian,lai@gmail.com,3
Brittni Gillaspie,bgillaspie@gillaspie.com,8
Raylene Kampa,rkampa@kampa.org,1
Flo Bookamer,flo.bookamer@cox.net,5
Jani Biddy,jbiddy@yahoo.com,8
Chauncey Motley,chauncey_motley@aol.com,1
